TEXT,PREDICTION
TIL the movie Starship Troopers was never adapted into a successful video game because...,0
What do you call a fat baby?,0
"Two morons are sitting on a fence. The big one fell off, why didn't the other?",0
I covered all my weapons in glue.,0
"Joke I made up: Caveman and a bear walk into a bar. Bartender says ""what's your story?"" Caveman says...",0
Late one night a drunk guy is showing some friends around his brand new apartment.,0
It's too early for hurricane jokes,0
"What My Girlfriend Thought, First four Dates:",0
Why did Donald Trump marry an immigrant?,0
"What clown has killed more children than ""It""?",0
Dunno what this WiFi dude did,0
Why do Jews get Circumcised?,0
"Teacher: tell me a sentence that starts with an ""I""",0
Yo mama's so fat,0
A tired american soldier is on a train to london,0
"I???m in so much debt, I can???t afford to pay my electric bill.",0
If you think your microwave and your TV spying on you is bad.,0
What do you call it when a kid teaches their parents?,0
"Today I donated a watch, a phone and my wallet to a poor guy...",0
A Woman Shoots Her Husband For Stepping On The Clean Floor???,0
What washes up on small beaches?,0
He's Serving Her,0
You know what really grinds my gears?,0
I bought shoes from a drug dealer once...,0
How did Rhianna find out that Chris Brown was cheating?,0
My girlfriend says I'm an idiot who can't do anything right.,0
For the cold nights to come.,0
The way to a man's heart is through his stomach,0
Fish is swimming up river when he bumps his head.,0
I don't like political jokes,0
What do you call a game developer with erectile dysfunction?,0
"I said to my wife, ???I need to call the doctor today.??-",0
Looks like I just lost an electron...,0
A man is being arrested...,0
There are eleven types of people in this world...,0
How did Mike Tyson open the door to alcoholism?,0
Why did the cannibal live on his own?,0
"Never fart in an apple store,",0
Just found out i was colourblind.,0
A wife says to her husband...,0
"""What school?""",0
Why do the military use acids?,0
Are you today's date?,0
What's a man's most sensitive body part when he's masturbating in the bathroom?,-1
The oldest computer can be traced to Adam and Eve.,0
What did a cannibal do after he dumped his girlfriend?,0
Why did the chicken commit suicide?,0
How does a red-headed man reach orgasm?,0
When Magnesium and Oxygen started dating I was like,0
Do you know how to make a dumb person curious?,0
What does a tornado and a divorce in the south have in common?,0
I went to a club for sufferers of premature ejaculation and no one was there...,0
,0
A blonde walks into a bar.,0
"My bloodtype inspires me ,",0
What does a slutty horse wear?,0
"What is the name of a medium-well movie, with knights and gambling?",0
Roses are red violets are blue,0
How do you drown a hipster?,0
Did you hear about the two bodybuilders who always talked at the same time?,0
A man walks into a bar and orders three beers.,0
How much RAM does a great white shark have?,0
What's the difference between Buckingham and necrophil?,0
What's the difference between a hooker and a drug dealer?,0
Representatives from an American NGO are on a visit to a Soviet kindergarten.,0
Fact: You don't actually swallow 6 spiders in your sleep,0
Did you hear about the midget psychic that escaped from prison?,0
I downloaded an app that I thought would help me find great sandwiches...,0
"'Dad, how much did it cost for you and mom to get married?'",0
Have you seen the latest new article about butter?,0
What's the nationality of someone with many knees?,0
Found this on the interwebs,0
What's the difference between a bulimic and a communist?,0
Soldiers,0
What do Princess Diana and Pink Floyd have in common?,0
It cost NASA scientist 1 billion dollars to send felines into outerspace.,0
What does Bob Ross's paintings and an orphanage have in common?,0
If you were to second-guess your decision to book time to visit a Native American community...,0
"Midnight Petrograd... A Red Guards night watch spots a shadow trying to sneak by. ""Stop! Who goes there? Documents!""",0
Ex who lives in Florida,0
"Paddy Englishman, Irishman and Scotsman are discussing how great their uncles are",0
Fred Flintstone:,0
I have gotten chlamydia so many times...,0
I have a reptile in every room but one,0
What tool does a woman like best in the kitchen?,0
"A Rabbi, a Priest and a Minister go golfing",0
Yo Mama's so fat...,0
A HUSBAND'S LAST REQUEST,0
