title,usertext,y
,I have to do it. I have no choice.,1
,All bridges are in love with a suicide.,1
,I don't have anything to live for anymore.,1
,I'm starting to get bad again.,1
,How to kill myself without breaking Mom's heart,1
,How to kill myself hurts my mother's feelings,1
,I have a specific plan to kill myself.,1
,Suicides are shy murderers.,1
,"If I died now, no one would notice.",1
,"If I stay here, it'll only get worse.",1
,It is often worth preserving life.,1
,You never know what a smile can hide.,1
,Now let's talk about that sacrificial list.,1
,"Don't worry, everything's gonna be all right.",1
,I feel like this world isn't for me.,1
,"Whatever happens, you know I love you.",1
,"Worst of all, I've ever had hope.",1
,Without me everyone would be happier,1
,Everything I do leads to suicide.,1
,I don't like that kind of pain.,1
,I can't live another second of this hell.,1
,I could die now and no one would notice,1
,"I'm tired and upset, I want to die.",1
,There is no greater lie than life itself,1
,I can't stop disappointing those I love.,1
,Why don't you kill me?,1
,Forgive me for not having the courage to continue.,1
,Soon I will meet with my loved ones,1
,"I hear voices saying, ""Do it.""",1
,Noreen suicidal lang cut off the hahaha doll x,1
,I hear voices calling me “do it”,1
,My job is done. Why wait?,1
,The suicide never returns to the crime scene,1
,♪ I want to fucking die ♪,1
,More apathy would probably help me kill myself.,1
,Press your self-inflicted injury and call 911.,1
,I've realized that nothing makes sense.,1
,Every suicider knows where uncertainty squeezes him.,1
,One more night one more morning one more day.,1
,"I want to kill myself, I know how.",1
,I'd better get out of the way.,1
,There's nothing I can do anymore. Why wait?,1
,conspiring on how to kill myself since 1995,1
,I'm not worth enough to face it.,1
,Who can love someone who has these thoughts?,1
,"Whatever I do, everything goes wrong.",1
,My situation may only get worse.,1
,Life isn't worth living.,1
,I beg you to kill me now.,1
,I don't see the sense of living anymore.,1
,How to kill myself without everyone knowing it,1
,Soon I'll meet you wherever you are.,1
,Sometimes I wish I wouldn't wake up again.,1
,Why is life worth living?,1
,Quick suicide methods I've been suffering too long,1
,idk how to kill myself sometimes,1
